uuid,creation_date,frequency,day,updated_at,next_payment_day,status
8d0c7dca-be26-48b7-bcb7-dd59118e03ed,1733172953,monthly,fifteenth_day,2024-12-02 12:55:53,15,enabled
44760117-5f6d-4f8e-bc05-bb072ec6917b,1733172943,monthly,fifteenth_day,2024-12-02 12:55:43,15,enabled
3942b8c4-9d37-4d6a-b788-558ec9a0f92a,1728827220,weekly,wednesday,2024-12-02 12:49:36,4,enabled
e00e77ac-b0b4-46fb-b98a-0922c87bf7c6,1732229805,weekly,monday,2024-12-02 11:33:10,9,enabled
6dd00878-1512-4d6a-aed8-8d3787c84521,1733164868,biweekly,thursday,2024-12-02 10:41:08,12,enabled
4a472370-1011-4fea-b453-7299b474393c,1733164545,weekly,wednesday,2024-12-02 10:35:45,4,enabled
92446139-5800-4f4f-ba5e-fbf6cf682af3,1732986622,biweekly,wednesday,2024-12-02 09:24:38,11,enabled
8fa02d59-722d-4ea6-aa5a-a70125697163,1733160057,biweekly,friday,2024-12-02 09:20:57,13,enabled
f4a50088-6471-403f-b6ac-45cba283539a,1733157616,monthly,first_day,2024-12-02 08:40:16,1,enabled
a814db75-34af-4ec9-887e-de1ffbeae711,1733157554,monthly,fifteenth_day,2024-12-02 08:39:14,15,enabled
0a71a7ac-179e-4b95-bd55-4275a8f6167a,1733149923,biweekly,monday,2024-12-02 06:32:03,16,enabled
b5e958b9-df6a-4e72-a0fc-b7407f9ab103,1733149909,biweekly,monday,2024-12-02 06:31:49,16,enabled
00f928a9-0516-435a-b084-8c579e5a01af,1733083072,biweekly,friday,2024-12-02 06:17:51,13,enabled
6e842021-7844-4ee3-82e7-407efd6987a0,1730911208,monthly,fifteenth_day,2024-12-02 05:09:21,15,enabled
46c57d45-9c3c-4b9d-b6f2-0de62c7581fe,1733143611,weekly,friday,2024-12-02 04:46:51,6,enabled
aa2bb3c1-43f8-4718-84c1-f660b9ef19f5,1732984033,biweekly,tuesday,2024-12-02 04:46:09,10,enabled
f1eaa14d-63b3-4751-b282-9913ca1c6819,1733124873,weekly,friday,2024-12-01 23:34:33,6,enabled
89e8521e-a9ba-4d5c-9c47-602dc0ec5218,1732396579,biweekly,wednesday,2024-12-01 19:02:53,11,enabled
f1613d85-2abd-4260-8454-b2fa05cbe99b,1733107533,weekly,monday,2024-12-01 18:45:33,9,enabled
de7bc9af-95cc-408b-83bc-6d1b1fad29bb,1733102397,biweekly,thursday,2024-12-01 17:19:57,12,enabled
ffb657b0-c97b-46df-aa05-d3638a0d78a0,1733102375,biweekly,thursday,2024-12-01 17:19:35,12,enabled
d4f6bb49-44c0-4a70-84e7-1ff46a4c6eb9,1733091474,biweekly,friday,2024-12-01 17:03:52,13,enabled
f97fd653-7fbc-4632-91a2-7c3cfc038aad,1733097356,weekly,monday,2024-12-01 15:56:20,9,enabled
cddbcfdd-1da7-462b-9f32-ecc8938724af,1733096400,weekly,saturday,2024-12-01 15:40:00,7,enabled
d73c9e08-7691-4a36-bd6b-cd355e793bfb,1733096379,biweekly,saturday,2024-12-01 15:39:39,14,enabled
8a72c9a8-384e-41da-b01c-e9bf5e015f15,1733096359,weekly,saturday,2024-12-01 15:39:20,7,enabled
56800f08-cdde-4702-af7c-4afa9fe8d801,1733096166,biweekly,friday,2024-12-01 15:36:06,13,enabled
bbc0593c-55e3-4135-b71c-2619b5b36751,1732889765,biweekly,wednesday,2024-12-01 15:23:46,11,enabled
6b588731-dd54-4246-8f3f-1c0ebe812482,1727603157,weekly,monday,2024-12-01 13:57:19,9,enabled
5b2a17a4-45cd-4137-a8d3-e941a21ae17f,1730036185,weekly,sunday,2024-12-01 13:05:16,8,enabled
4fceafd8-014b-4ba8-8167-1b87797244ef,1733087083,biweekly,sunday,2024-12-01 13:04:44,15,enabled
d8fb8ea4-1b4e-4cc6-9672-f51db46e22c6,1733081968,weekly,sunday,2024-12-01 11:39:28,8,enabled
2a8551ff-346c-485d-807a-879af12a8ce0,1732995591,weekly,saturday,2024-12-01 10:53:24,7,enabled
b92cf73a-c48f-4a46-80da-5e4f81bf3514,1732995577,weekly,saturday,2024-12-01 10:53:07,7,enabled
de72bc3b-03e2-48eb-b00d-9934d26a7f09,1732995554,weekly,saturday,2024-12-01 10:52:58,7,enabled
253ae203-e19f-4946-be59-257f97c92e71,1733077363,monthly,fifteenth_day,2024-12-01 10:22:43,15,enabled
a010c12d-800e-4f12-9ecf-e641d5048b5c,1733070512,monthly,first_day,2024-12-01 08:28:32,1,enabled
410a9b1e-093e-4c0c-9a7d-efdf78af81ab,1731514700,biweekly,sunday,2024-12-01 00:11:50,15,enabled
ca35dec6-e198-407e-811b-b4b39f0462a6,1728890200,monthly,first_day,2024-12-01 00:03:44,1,enabled
108b1809-6725-40ea-ab1a-2d27ae032443,1733034677,biweekly,friday,2024-11-30 22:40:43,13,enabled
14d3165d-9deb-44ae-bd12-4a33c4944bdc,1731552719,monthly,fifteenth_day,2024-11-30 21:42:52,15,enabled
ad335f49-b596-4673-be2d-a65f4dec0173,1733028827,biweekly,tuesday,2024-11-30 20:56:09,10,enabled
159b3774-5819-480b-bb87-27096e8f2a37,1733028799,biweekly,tuesday,2024-11-30 20:55:52,10,enabled
a4f5c3ad-af84-4920-a0da-5f4db1203bfc,1733022728,weekly,friday,2024-11-30 19:13:33,6,enabled
09b5293e-2e3c-4dc5-a29d-1e0abbb4c3cb,1733016311,monthly,first_day,2024-11-30 19:10:07,1,enabled
f9ea1fc7-ee7d-473a-bca3-9321dc63a05e,1733021599,biweekly,wednesday,2024-11-30 18:53:19,11,enabled
ec801e13-6cb8-4079-b4d7-12186ca9b7f5,1733021187,weekly,monday,2024-11-30 18:46:27,9,enabled
55e02426-6483-4f93-994a-d060f3e3d9ae,1733018947,weekly,monday,2024-11-30 18:09:07,9,enabled
41521616-32ca-47ef-98ed-a8ea35b0e18d,1733018134,biweekly,monday,2024-11-30 17:55:34,9,enabled
81c118e4-5931-4912-9e2f-8a9736693e09,1733015908,weekly,friday,2024-11-30 17:19:03,6,enabled
2d7a6e1a-0d1f-40b9-8b19-72a16000c5fd,1733008225,weekly,sunday,2024-11-30 17:07:39,8,enabled
0edc59a6-f0ec-45dd-b25d-21cdcb6c578a,1730564357,monthly,first_day,2024-11-30 16:43:57,1,enabled
b4351707-02d1-47c6-a779-4263e348a034,1733009854,biweekly,sunday,2024-11-30 15:37:34,8,enabled
c63c66da-bf20-4297-bf57-a6951aa37647,1733009324,weekly,friday,2024-11-30 15:28:44,6,enabled
e4d9d5f4-ac7e-4ae5-9b89-d50aa767e481,1733008417,biweekly,tuesday,2024-11-30 15:18:34,10,enabled
6a7314db-b71e-4fa4-b8d4-403d5c1fd971,1732727403,weekly,sunday,2024-11-30 14:51:59,8,enabled
2a589c23-1100-400d-af87-81c36123b877,1732727386,weekly,sunday,2024-11-30 14:51:45,8,enabled
634812b1-d411-41e0-b57c-5adcf2d16526,1733003368,biweekly,friday,2024-11-30 13:50:44,13,enabled
54827e12-adbd-4db5-9aff-90578747e381,1726275543,weekly,friday,2024-11-30 13:00:31,6,enabled
32784408-b719-4354-baef-395aee3aa4a3,1732892809,weekly,saturday,2024-11-30 12:15:04,7,enabled
8263dc32-e03e-458b-a40c-798f286fe4f2,1732892781,weekly,saturday,2024-11-30 12:14:29,7,enabled
eeff327b-2266-423e-961e-32d32f3bbc55,1732915814,weekly,friday,2024-11-30 10:07:05,6,enabled
32d50adf-c09f-41a6-aac8-b234c9b21900,1732988489,weekly,sunday,2024-11-30 09:48:15,8,enabled
19d933a6-2810-4c08-b3d6-d68ef3c6eac3,1732603216,weekly,saturday,2024-11-30 09:32:30,7,enabled
51b8afc4-729f-4315-a2e3-f9dbb9a4a0ef,1724097345,monthly,first_day,2024-11-30 09:31:33,1,enabled
3c53f276-8ea4-401a-81ea-e6edc7277df5,1732694313,monthly,fifteenth_day,2024-11-30 09:10:12,15,enabled
c12427b5-0cec-4be1-b4bb-7d35d38b8162,1732694183,monthly,fifteenth_day,2024-11-30 09:10:03,15,enabled
077e2ff6-447a-4c9e-b332-03eca7d66b20,1732985211,monthly,first_day,2024-11-30 08:46:51,1,enabled
31941da9-719d-4ea3-9d82-6eecec789da4,1732984151,monthly,first_day,2024-11-30 08:29:11,1,enabled
49b3cf33-dfbc-4059-a2a8-1e5e8c7e9d0f,1732984141,monthly,first_day,2024-11-30 08:29:01,1,enabled
0623755a-d349-44f2-baa7-4690cb68edb3,1732984130,monthly,first_day,2024-11-30 08:28:50,1,enabled
9c6e021f-ec9b-4ec8-a7d4-87aa29f7aa5d,1732984113,monthly,first_day,2024-11-30 08:28:33,1,enabled
9f53969a-38fa-4c1f-ac7b-371e7723fa47,1732980120,biweekly,saturday,2024-11-30 07:22:00,14,enabled
d2ad566f-c59f-4b85-8525-8f8dd051db3a,1732979386,daily,daily,2024-11-30 07:09:46,4,enabled
990d4a0c-cede-4938-bdb1-fdbab1544989,1732907281,daily,daily,2024-11-30 07:06:59,4,enabled
cf236f7a-0dfb-47b6-b2aa-3198fb1888b3,1729703377,weekly,saturday,2024-11-30 07:05:05,7,enabled
a0f128ad-293b-4ad7-8acd-f4390dd6076d,1725653185,biweekly,friday,2024-11-30 07:02:53,13,enabled
d1338a26-88de-400c-bf5f-4efe4b169eb2,1731980800,biweekly,friday,2024-11-30 05:37:39,13,enabled
7c80ffb7-ec6c-4b65-a6de-cb51d87e7193,1728248250,monthly,first_day,2024-11-30 04:25:41,1,enabled
d6331731-dafe-4bb2-8bd4-3b4cf625f742,1732377378,weekly,friday,2024-11-30 00:39:14,6,enabled
dbd5c5bb-741b-4f41-b93d-2aae4c345fa8,1732949034,weekly,thursday,2024-11-29 22:45:03,5,enabled
b4924fa5-9c96-4797-af4c-0a8e2ee6bd09,1732944651,weekly,monday,2024-11-29 21:30:51,9,enabled
1c78b126-cb5a-49e1-962e-64954d2f265c,1730926622,weekly,sunday,2024-11-29 20:43:36,8,enabled
0e540bda-bc81-4670-a961-6d6407e0f6aa,1730926634,weekly,sunday,2024-11-29 20:43:23,8,enabled
3e544491-2070-41cf-b4f1-c922a5945a38,1731107910,biweekly,saturday,2024-11-29 18:40:00,7,enabled
d9a09694-46e5-4c45-94d6-3ad84b539a22,1732453081,weekly,saturday,2024-11-29 17:42:44,7,enabled
d723defc-da42-44bc-bef4-daa7cb722bca,1732929342,biweekly,friday,2024-11-29 17:16:02,13,enabled
73542c74-ece7-4b5b-9b04-b4c85dc04026,1732928534,biweekly,monday,2024-11-29 17:02:14,9,enabled
6ca19a12-7b20-4259-b2ec-ace482558797,1732926607,weekly,saturday,2024-11-29 16:34:02,7,enabled
b80929af-f01d-4323-9c9b-c29f7e196fea,1732573741,weekly,wednesday,2024-11-29 16:20:34,4,enabled
46d3a792-6bcd-4986-b394-c89124bc2c9d,1732925195,biweekly,monday,2024-11-29 16:06:35,9,enabled
10092e5d-6ff7-4225-9d1d-52ff6b54ff08,1732925040,biweekly,friday,2024-11-29 16:04:00,13,enabled
d3df388a-9e07-41d3-bb4d-57266cb9e18f,1732924976,biweekly,saturday,2024-11-29 16:02:56,7,enabled
0baa72f4-d0b0-49ab-bf9f-635c882863b0,1732924388,weekly,friday,2024-11-29 15:53:08,6,enabled
640f09d7-3817-4bb3-9635-43b9c4af8fe0,1728864486,monthly,fifteenth_day,2024-11-29 15:34:03,15,enabled
7186f03a-9621-4b41-81be-f6498d43d4c6,1732920534,weekly,friday,2024-11-29 14:48:54,6,enabled
09af4ac6-47ff-45f8-bbce-9f3f4c1c4f48,1732919382,biweekly,thursday,2024-11-29 14:29:42,12,enabled
d580df48-3b6f-48c6-ad34-ac7f2dc7f95a,1726278263,monthly,first_day,2024-11-29 13:33:10,1,enabled
747bfa09-8c67-438a-9145-8b8b35e7da9a,1732912986,weekly,friday,2024-11-29 13:28:51,6,enabled
7c3ecb20-1715-4651-acaf-7ef857ecff85,1732914206,monthly,first_day,2024-11-29 13:03:26,1,enabled
ae7edb77-42e4-4984-a51e-5c7bc12fb1e6,1732912248,weekly,friday,2024-11-29 12:30:48,6,enabled
d2171302-d328-4660-a85e-2fbd9ea7d088,1732587100,monthly,fifteenth_day,2024-11-29 11:42:16,15,enabled
c1b27eb3-a20b-452a-90db-c244b37db6cf,1732908154,biweekly,thursday,2024-11-29 11:22:34,12,enabled
da876365-b146-4833-a33a-a4938bc463b7,1732908142,biweekly,thursday,2024-11-29 11:22:22,12,enabled
8f57afa4-bf5c-46e8-a6d2-0032867b2b38,1732905794,monthly,first_day,2024-11-29 10:43:14,1,enabled
56d4ad4d-9d92-4bac-9a3b-caaf42a2e32c,1732821501,monthly,fifteenth_day,2024-11-29 10:25:51,15,enabled
5e9bae0a-1b34-40f4-aee0-4b5cf319670e,1732821456,monthly,fifteenth_day,2024-11-29 10:25:28,15,enabled
958b0105-d0b5-492f-97f6-9df6985371ae,1732903287,monthly,fifteenth_day,2024-11-29 10:01:27,15,enabled
2563ee88-62ae-4806-aa62-8c3155798fa9,1732269713,monthly,fifteenth_day,2024-11-29 09:31:09,15,enabled
424aa4a1-c7ff-4ab2-baf1-c3b926518115,1732895261,biweekly,friday,2024-11-29 07:47:41,13,enabled
a7163c32-e4a4-4430-9870-21067e80996e,1732894476,biweekly,friday,2024-11-29 07:34:36,13,enabled
0ea6edc1-d8a3-4927-817b-0ccfd9224f5f,1732894263,biweekly,thursday,2024-11-29 07:31:03,12,enabled
a49bdb17-a391-48f6-b01c-848e6a7f3055,1732894174,biweekly,thursday,2024-11-29 07:29:34,12,enabled
bdd519c9-12cb-45e8-94d7-6af49ca946c1,1732894107,biweekly,thursday,2024-11-29 07:28:27,12,enabled
f73f2332-f409-4d49-94f5-35f937bdf777,1732384682,weekly,sunday,2024-11-29 07:08:32,8,enabled
83dee938-17c7-4b79-8a76-0e32adac918a,1732384667,weekly,sunday,2024-11-29 07:08:23,8,enabled
47761cb9-4453-4d53-bb5c-a8943bbe2490,1732892398,biweekly,friday,2024-11-29 06:59:58,13,enabled
9fc8b990-f640-4594-9f03-2650edf5a59e,1732892367,biweekly,friday,2024-11-29 06:59:27,13,enabled
f8c1a951-49ee-4d43-8754-12885d408ec7,1732890574,biweekly,friday,2024-11-29 06:38:59,13,enabled
d6c9237b-ae67-4d81-94c4-2686169cb367,1732891123,biweekly,friday,2024-11-29 06:38:43,13,enabled
1b21e215-77d1-41fe-b973-bdb93c627e8b,1728435824,weekly,monday,2024-11-29 06:20:53,9,enabled
df66f91d-763c-4159-bb74-ef7842a69995,1732885600,biweekly,friday,2024-11-29 05:06:40,13,enabled
e0912701-4e7b-41d7-aebc-7290585dd437,1730744123,monthly,fifteenth_day,2024-11-28 22:40:15,15,enabled
bd8dae0c-dbe0-4f2d-9087-b7d79cfa146a,1730334419,monthly,first_day,2024-11-28 22:38:38,1,enabled
212cad23-53f2-40cb-8745-4a09093a9cb8,1731422778,biweekly,monday,2024-11-28 20:39:07,9,enabled
304d4081-90c4-4ba6-b6fd-bc45c22eacdc,1732385847,weekly,friday,2024-11-28 18:32:39,6,enabled
82b72ae6-d248-4760-b3fd-7c4e94071162,1732844353,biweekly,friday,2024-11-28 17:39:13,6,enabled
2ebf9a97-3aef-4f6e-8a5e-fa73d1d5dde0,1732840903,biweekly,wednesday,2024-11-28 16:41:43,11,enabled
4ba547e8-2e7c-443d-8a40-911342d31f4a,1732840270,weekly,friday,2024-11-28 16:31:43,6,enabled
bcee9b58-757f-44dc-80ff-f5b425ab38fc,1732834214,biweekly,friday,2024-11-28 14:50:14,6,enabled
c091a91b-c6fd-44cb-8ac7-fe3fdbafccea,1728143296,weekly,friday,2024-11-28 13:34:15,6,enabled
be7315d1-618c-4f9d-9c23-ef92e540b798,1732410547,weekly,saturday,2024-11-28 13:19:54,7,enabled
865ca022-5f06-4926-90c3-6b2822232f1b,1732827255,monthly,first_day,2024-11-28 12:54:15,1,enabled
a0e18e1a-7d45-4157-ab4a-425749d214bc,1732783593,monthly,first_day,2024-11-28 12:00:22,1,enabled
bca5caad-03c6-413e-a375-6b1e1b95d28f,1731427231,daily,daily,2024-11-28 09:31:40,4,enabled
b16754f4-a7d4-4f96-9144-bbb69fb2fc7a,1732814463,monthly,first_day,2024-11-28 09:22:31,1,enabled
76a558c9-e51e-47a7-9891-dee6041e0bfd,1732812208,monthly,first_day,2024-11-28 08:43:29,1,enabled
236de932-1bbc-4465-b52c-794f23bd458c,1732411032,weekly,friday,2024-11-28 08:25:25,6,enabled
f7e5c549-a329-4af6-9986-333242280119,1732811112,weekly,friday,2024-11-28 08:25:12,6,enabled
b1ce52c9-c2a8-48a2-af92-36d7cf18b7ab,1732808362,weekly,sunday,2024-11-28 07:39:22,8,enabled
55be4b4d-3a7c-461c-bf0a-6d7644ac72c7,1732808193,monthly,first_day,2024-11-28 07:36:33,1,enabled
ee579b79-c118-4574-9bd0-c078a5c9a9d5,1732808175,biweekly,monday,2024-11-28 07:36:15,9,enabled
75f0db36-ad23-40d5-877b-cff9badb37d7,1732806972,biweekly,saturday,2024-11-28 07:16:12,7,enabled
38f8d838-ea08-4fd5-9186-1407c389494c,1732806616,weekly,saturday,2024-11-28 07:10:16,7,enabled
0bfaeebf-d4b0-4134-b974-5b32f6eea52a,1732801982,monthly,first_day,2024-11-28 05:53:02,1,enabled
8967e9e5-4546-41d2-beeb-a1f2d39f94a5,1732798233,biweekly,monday,2024-11-28 04:50:33,9,enabled
252f6030-bf48-428b-830c-cf4c2c9ea7bc,1732798229,biweekly,monday,2024-11-28 04:50:29,9,enabled
fa08ba87-5032-4c0d-881a-7a1aeb81b0fb,1732798220,biweekly,monday,2024-11-28 04:50:20,9,enabled
1f6e46f0-ea51-4cca-8c98-517292c8f301,1732751023,daily,daily,2024-11-28 04:23:39,4,enabled
da31a583-8d84-4ba4-ba15-1704022c69e9,1725662579,weekly,saturday,2024-11-28 03:13:33,7,enabled
6861cf45-8bdb-49d2-884a-abd3e4bd3333,1732724422,monthly,fifteenth_day,2024-11-28 00:02:44,15,enabled
1ed8d2ee-472c-43d8-9eb0-8d4c4db648f0,1732778150,biweekly,thursday,2024-11-27 23:16:19,5,enabled
d0734842-1640-4b43-96ac-794490884d30,1732770114,daily,daily,2024-11-27 21:01:54,4,enabled
6e1f5ef3-d57f-4d76-bde9-bf39121731d7,1732769808,biweekly,monday,2024-11-27 20:56:48,9,enabled
3a845732-ebc0-4a19-9008-56ca13f183b6,1732763500,monthly,first_day,2024-11-27 19:22:08,1,enabled
1938cb65-6cd5-42b8-ae58-4596e1264d4c,1732763484,monthly,first_day,2024-11-27 19:21:55,1,enabled
d3648552-1259-4d14-a2dc-c3551eb92f75,1732761951,monthly,first_day,2024-11-27 19:21:43,1,enabled
79820c72-5521-4bca-a51c-efa1bdb793f1,1732761848,monthly,first_day,2024-11-27 18:44:08,1,enabled
0b8623d2-f5ff-4bbc-9f42-788e1a9d5e81,1732760872,monthly,first_day,2024-11-27 18:27:52,1,enabled
e3c03948-0958-4b72-801c-e21757deaa55,1732760158,monthly,first_day,2024-11-27 18:15:58,1,enabled
369c0616-fc92-40b7-81dd-0a21c47a0b99,1732759304,weekly,friday,2024-11-27 18:01:44,6,enabled
d6d84848-088a-417b-863e-2ef364b14a77,1732756618,biweekly,friday,2024-11-27 17:28:02,6,enabled
5b4618cc-c2e2-4318-b388-472ca672a1ed,1732753435,monthly,fifteenth_day,2024-11-27 16:23:55,15,enabled
35f0e1a6-35be-471d-9e70-cc3759f5ffc4,1732744801,biweekly,tuesday,2024-11-27 14:00:01,10,enabled
fd328774-5d23-48f8-be56-232097b80b0a,1732744788,biweekly,tuesday,2024-11-27 13:59:48,10,enabled
f3aa43ff-ba4e-47f4-ba8c-7decdf869162,1732737452,biweekly,thursday,2024-11-27 11:58:54,5,enabled
7d1b9a21-2d2d-4a55-8272-7ed02fdf4687,1732736507,weekly,sunday,2024-11-27 11:41:47,8,enabled
c97f1147-1f59-4a0d-a1e2-12c65b4fcd67,1732736429,weekly,thursday,2024-11-27 11:40:29,5,enabled
b8f5e778-b5ef-4760-9017-706687b7d8b6,1732736037,monthly,first_day,2024-11-27 11:33:57,1,enabled
44e44e62-e992-403d-b41c-db249512dca4,1732734860,monthly,first_day,2024-11-27 11:14:20,1,enabled
a6295c46-5040-4eaa-a846-0665f3026f23,1731862223,monthly,first_day,2024-11-27 10:09:47,1,enabled
ca3d0a7d-6ad3-4cde-ab29-1f3fe50198e8,1732729462,weekly,friday,2024-11-27 09:44:58,6,enabled
e20fcca0-2a35-461d-b2f4-5bacd2d842c2,1732728093,monthly,fifteenth_day,2024-11-27 09:21:33,15,enabled
cbeeebbd-b31a-468c-9704-f31c0788c30c,1732725808,weekly,monday,2024-11-27 09:16:26,9,enabled
6332c9f4-6c49-4043-afe0-b0b501b0acf7,1732721957,biweekly,friday,2024-11-27 07:39:17,6,enabled
72e8fe3f-0dd9-44e3-8775-660bacb17310,1726083350,weekly,thursday,2024-11-27 04:15:10,5,enabled
490a6f85-50a1-45de-9681-6a55dbbc8d6a,1728136522,biweekly,wednesday,2024-11-27 00:36:52,11,enabled
bb328adf-259e-4a8f-87f8-c82dc86b8dfa,1726657705,biweekly,wednesday,2024-11-27 00:33:05,11,enabled
e440dbcc-ca86-4f2e-acb3-95a09a02a9ae,1732685995,monthly,first_day,2024-11-26 23:13:27,1,enabled
f53cae36-0e0a-4813-b253-4b251320e2d1,1732427600,weekly,wednesday,2024-11-26 21:05:31,4,enabled
7a4594cd-57c6-43fa-854f-a9f07141774d,1732682132,biweekly,friday,2024-11-26 20:35:32,6,enabled
f6649329-bd3e-4617-b3f1-62b04f83d291,1732331835,weekly,friday,2024-11-26 19:51:53,6,enabled
019b47d0-9d8b-4ef4-9079-43f36335888b,1732331861,weekly,friday,2024-11-26 19:51:43,6,enabled
e4363029-73e9-4561-8257-22e3cb0c0a30,1731435207,monthly,fifteenth_day,2024-11-26 19:36:33,15,enabled
8d3bf9b8-77aa-47a2-b672-d3f6ab783bb9,1722865438,weekly,monday,2024-11-26 18:16:06,9,enabled
a6dc7058-c038-47df-b5b1-81ffe5d444a8,1732669474,biweekly,friday,2024-11-26 17:04:46,6,enabled
b7762cb3-8721-4fad-a604-0c68483481fc,1732669079,biweekly,thursday,2024-11-26 16:58:00,5,enabled
8b1a67fa-31a5-4a69-b344-86c6399c7629,1732666505,monthly,first_day,2024-11-26 16:15:05,1,enabled
d278205f-4175-4dbb-a398-5661a0a9c9f3,1721932001,weekly,sunday,2024-11-26 15:57:50,8,enabled
9c1af59d-dffa-4a16-a88a-0fb6d80f08c4,1729884023,monthly,first_day,2024-11-26 14:21:35,1,enabled
5d19d30d-4ca9-4521-bfcd-15623d3335b6,1732659520,monthly,first_day,2024-11-26 14:18:40,1,enabled
cddc374f-516e-4cc1-aaa3-a755c41ec007,1732037492,biweekly,tuesday,2024-11-26 13:18:20,10,enabled
2275fef4-7d7e-418a-ab0e-8e2547a2b546,1732654679,biweekly,tuesday,2024-11-26 12:57:59,10,enabled
2e1e5fd4-9948-4ce7-94ad-a1250d5acded,1731799682,monthly,first_day,2024-11-26 12:45:23,1,enabled
ee61cbf3-308f-47ad-92e0-4abba0954e02,1732653607,biweekly,friday,2024-11-26 12:40:07,6,enabled
a5dbf7bd-afb5-4ae6-8305-e16980df36b9,1732651161,biweekly,friday,2024-11-26 11:59:21,6,enabled
54c47731-fc2f-49c3-ab2a-84f9a4b46dfc,1732649988,biweekly,friday,2024-11-26 11:39:48,6,enabled
72190913-1208-4333-aaf4-ea7d04dccacd,1727446537,weekly,wednesday,2024-11-26 10:05:54,4,enabled
5e5d954f-4ba0-4fff-9b8a-f76cc0f6e7a6,1732642202,monthly,fifteenth_day,2024-11-26 09:30:14,15,enabled
c8aa0f42-8445-4d55-beaf-814d502e8d19,1731980905,weekly,tuesday,2024-11-26 09:13:53,10,enabled
95c624bf-164b-4b7f-bde4-86c3ce3ace8e,1732640770,biweekly,friday,2024-11-26 09:06:10,6,enabled
047bb3df-c215-4d3d-8c00-5d1fd8d92d99,1732636026,monthly,fifteenth_day,2024-11-26 07:47:06,15,enabled
4d5dcbff-cd3c-4110-933e-29c5a494231b,1732634469,weekly,tuesday,2024-11-26 07:21:09,10,enabled
684cfcbb-2157-46e7-af31-590a7b472731,1732634301,biweekly,monday,2024-11-26 07:18:21,9,enabled
a8722d21-ab58-43c5-92ff-ff1615573a69,1732634292,biweekly,monday,2024-11-26 07:18:12,9,enabled
5c98ad89-09a6-4808-8908-de4d993bb4f8,1732628260,monthly,fifteenth_day,2024-11-26 05:37:40,15,enabled
d56dcc92-e5e4-4f60-899b-6cdb8098959b,1732025179,monthly,fifteenth_day,2024-11-26 03:05:58,15,enabled
